user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
,0.0,0,0
5250.0,0.75,3,4
76767.0,0.2,1,5
86540.0,0.0,0,16
103360.0,0.0,0,3
144736.0,0.5,1,2
181212.0,1.0,2,2
229911.0,0.0,0,2
298950.0,0.025,1,40
299153.0,0.25,1,4
381543.0,0.5,1,2
547685.0,0.14285714285714285,1,7
554278.0,0.3333333333333333,1,3
561758.0,0.03125,1,32
577614.0,1.0,1,1
604988.0,1.0,2,2
622362.0,0.5,1,2
635733.0,0.0,0,1
683019.0,0.0,0,3
714122.0,0.0,0,2
748719.0,0.0,0,4
835015.0,0.0,0,2
861238.0,0.0,0,2
871990.0,0.0,0,0
937567.0,0.5,2,4
948368.0,0.0,0,0
975449.0,0.0,0,66
976129.0,0.0,0,0
983600.0,0.3333333333333333,1,3
994489.0,0.0,0,4
1006880.0,0.0,0,1
1024319.0,0.0,0,0
1072465.0,0.0,0,0
1129452.0,0.0,0,2
1135775.0,1.0,2,2
1268792.0,0.0,0,1
1364546.0,0.0,0,0
1423371.0,0.3333333333333333,1,3
1601069.0,0.6666666666666666,2,3
1601773.0,0.0,0,0
1603625.0,0.5,1,2
1612666.0,0.16666666666666666,1,6
1665511.0,0.5,1,2
1699101.0,0.5,1,2
1713646.0,0.6666666666666666,2,3
1834453.0,0.5,1,2
1851828.0,0.5,1,2
1936551.0,0.0,0,14
1950243.0,0.0,0,10
1971801.0,1.0,1,1
2039434.0,0.25,1,4
2083767.0,0.14285714285714285,2,14
2087859.0,0.25,1,4
2110581.0,0.0,0,5
2184507.0,0.6666666666666666,2,3
2259650.0,0.05,2,40
2382003.0,0.5,2,4
2428602.0,0.3333333333333333,1,3
2531540.0,0.0,0,3
2613043.0,0.0,0,0
2643609.0,0.125,1,8
2753525.0,0.09523809523809523,2,21
3001740.0,0.0,0,1
3054990.0,0.5,1,2
3238976.0,0.0,0,0
3244702.0,0.0,0,2
3249166.0,0.0,0,0
3347312.0,0.5,1,2
3372923.0,1.0,1,1
3449240.0,0.047619047619047616,1,21
3450426.0,0.0,0,0
3498717.0,0.3333333333333333,1,3
