user_id,ratio,totalGamesRecommended,numberRecommendationUserHas,NewGamesRecommended
5250,0.05,20,1,19
76767,0.05,20,1,19
86540,0.05,20,1,19
229911,0.05,20,1,19
298950,0.136363636,22,3,19
547685,0,20,0,20
554278,0,20,0,20
561758,0.25,20,5,15
622362,0,20,0,20
748719,0,20,0,20
871990,0,20,0,20
948368,0,20,0,20
975449,0.15,20,3,17
994489,0.05,20,1,19
1072465,0,20,0,20
1129452,0.05,20,1,19
1612666,0.05,20,1,19
1936551,0,22,0,22
1950243,0.1,20,2,18
2083767,0.15,20,3,17
2110581,0,20,0,20
2259650,0.05,20,1,19
2531540,0.05,20,1,19
2643609,0.05,20,1,19
2753525,0.15,20,3,17
3244702,0,20,0,20
3449240,0.05,20,1,19
3450426,0,20,0,20
3527485,0.1,20,2,18
3783783,0.05,20,1,19
3979930,0,20,0,20
4064412,0.05,20,1,19
4595423,0,20,0,20
4824107,0.05,20,1,19
4834220,0.05,20,1,19
4877411,0.05,20,1,19
5220782,0.1,20,2,18
5270060,0.05,20,1,19
5387470,0,20,0,20
5860071,0.15,20,3,17
5949488,0,20,0,20
5976642,0,20,0,20
5990132,0.05,20,1,19
6144819,0,20,0,20
6439568,0,20,0,20
6717871,0.15,20,3,17
6928806,0.05,20,1,19
6979578,0,20,0,20
7015471,0,20,0,20
7020135,0.05,20,1,19
7094039,0,20,0,20
7163917,0.05,20,1,19
7203603,0.1,20,2,18
7249363,0,20,0,20
7418489,0.05,20,1,19
7431946,0.15,20,3,17
7440594,0,20,0,20
7907686,0.05,20,1,19
7955670,0.05,20,1,19
8259307,0.05,20,1,19
8311704,0.1,20,2,18
8542204,0.05,20,1,19
8585433,0.1,20,2,18
8763960,0.05,20,1,19
8776918,0.15,20,3,17
8784496,0,20,0,20
8795607,0.1,20,2,18
8949216,0.05,20,1,19
9128105,0.1,20,2,18
9180659,0,20,0,20
9209946,0.15,20,3,17
9245216,0.05,20,1,19
9365873,0.05,20,1,19
9544834,0,20,0,20
9563573,0.05,20,1,19
9740704,0,20,0,20
9823354,0.08,25,2,23
9845449,0,20,0,20
9946133,0,20,0,20
10144504,0.05,20,1,19
10162301,0,20,0,20
10181060,0.05,20,1,19
10218563,0.1,20,2,18
10253354,0.130434783,23,3,20
10302000,0.05,20,1,19
10385370,0,20,0,20
10450544,0,20,0,20
10478285,0,20,0,20
10595342,0,20,0,20
10599862,0.15,20,3,17
10856494,0,20,0,20
10934310,0,20,0,20
11024186,0,20,0,20
11149819,0,20,0,20
11161178,0.05,20,1,19
11207650,0.1,20,2,18
11300897,0,20,0,20
11373749,0.15,20,3,17
11403772,0.12,25,3,22
11731710,0.05,20,1,19
11794760,0.05,20,1,19
11807754,0.1,20,2,18
11813637,0.05,20,1,19
11940338,0.05,20,1,19
11952990,0,20,0,20
11970504,0.1,20,2,18
11978743,0.05,20,1,19
12130111,0.05,20,1,19
12144171,0.1,20,2,18
12195913,0.1,20,2,18
12259303,0,20,0,20
12529679,0.05,20,1,19
12610800,0,20,0,20
12660489,0,20,0,20
12760368,0,20,0,20
12774878,0,20,0,20
12860805,0.05,20,1,19
12985315,0.05,20,1,19
13190476,0.15,20,3,17
13565651,0,20,0,20
13646256,0,20,0,20
14126086,0.1,20,2,18
14153959,0,20,0,20
14216099,0,20,0,20
14417857,0.05,20,1,19
14465359,0.05,20,1,19
14507290,0,20,0,20
14544587,0,20,0,20
14551726,0,20,0,20
14671378,0.05,20,1,19
14906179,0,20,0,20
14962163,0.1,20,2,18
15095770,0.1,20,2,18
15196746,0.227272727,22,5,17
15221799,0.15,20,3,17
15305418,0,20,0,20
15415372,0.05,20,1,19
15680561,0.1,20,2,18
15701750,0,20,0,20
15702351,0,20,0,20
15841597,0,20,0,20
16081636,0.05,20,1,19
16084897,0.05,20,1,19
16154372,0.1,20,2,18
16167221,0.1,20,2,18
16231773,0,20,0,20
16574348,0.05,20,1,19
16645459,0,20,0,20
16710264,0.05,20,1,19
17017968,0,20,0,20
17414305,0.1,20,2,18
17495098,0.05,20,1,19
17497581,0,20,0,20
17530772,0.05,20,1,19
17567828,0.05,20,1,19
17649444,0.1,20,2,18
17995238,0,21,0,21
18036199,0.15,20,3,17
18066817,0.05,20,1,19
18074031,0.1,20,2,18
18109027,0.05,20,1,19
18149166,0.05,20,1,19
18263482,0,20,0,20
18500119,0.05,20,1,19
18604016,0.05,20,1,19
18897058,0,20,0,20
19062398,0,20,0,20
19085114,0,20,0,20
19094181,0,20,0,20
19510434,0.05,20,1,19
19586574,0.05,20,1,19
19616379,0.05,20,1,19
19668647,0.15,20,3,17
19696244,0.05,20,1,19
20200395,0.1,20,2,18
20207081,0.05,20,1,19
20366600,0,20,0,20
20464587,0,20,0,20
20566124,0.1,20,2,18
20704366,0.05,20,1,19
20772968,0.045454545,22,1,21
21061921,0,20,0,20
21138994,0,20,0,20
21316693,0.1,20,2,18
21406272,0,20,0,20
21535912,0,20,0,20
21539893,0.1,20,2,18
21861124,0.15,20,3,17
21979395,0.1,20,2,18
22075531,0.05,20,1,19
22088241,0,20,0,20
22283916,0,20,0,20
22301321,0.2,25,5,20
22371742,0.05,20,1,19
22605909,0.1,20,2,18
22865756,0,20,0,20
23072560,0,20,0,20
23096237,0.05,20,1,19
23154676,0.05,20,1,19
23225650,0.086956522,23,2,21
23386002,0.1,20,2,18
23472549,0,20,0,20
23492094,0.1,20,2,18
23608098,0,20,0,20
23643789,0,20,0,20
23672423,0,20,0,20
23717586,0.035714286,28,1,27
23883383,0.05,20,1,19
24011187,0,20,0,20
24204083,0.1,20,2,18
24366790,0.05,20,1,19
24469287,0.15,20,3,17
24632218,0,20,0,20
24721232,0.15,20,3,17
24841093,0,20,0,20
24858005,0,20,0,20
24919113,0,20,0,20
25096601,0,20,0,20
25337857,0.05,20,1,19
25490518,0,20,0,20
25539892,0.05,20,1,19
26027937,0,20,0,20
26122540,0,20,0,20
26302344,0.05,20,1,19
26333936,0.05,20,1,19
26430231,0.15,20,3,17
26465134,0.1,20,2,18
26729643,0,20,0,20
26762388,0.095238095,21,2,19
26802825,0.05,20,1,19
26808868,0,20,0,20
26861985,0,20,0,20
27117407,0,20,0,20
27139623,0.15,20,3,17
27169419,0.1,20,2,18
27171538,0.05,20,1,19
27262175,0,20,0,20
27279261,0.15,20,3,17
27403206,0,20,0,20
27545486,0,20,0,20
27579751,0,20,0,20
27901693,0.05,20,1,19
28031199,0,20,0,20
28041586,0,20,0,20
28064589,0.05,20,1,19
28113724,0.05,20,1,19
28229872,0.1,20,2,18
28472068,0.05,20,1,19
28648610,0,20,0,20
28731346,0.05,20,1,19
28997716,0,20,0,20
29052354,0.15,20,3,17
29081256,0,20,0,20
29148231,0.05,20,1,19
29239329,0,20,0,20
29268335,0,20,0,20
29302014,0.05,20,1,19
29569611,0.05,20,1,19
29706117,0.05,20,1,19
29753085,0.05,20,1,19
29852387,0,20,0,20
29873979,0.1,20,2,18
29983962,0.1,20,2,18
30042027,0.05,20,1,19
30061970,0.2,20,4,16
30172489,0.1,20,2,18
30239820,0.05,20,1,19
30246419,0.1,20,2,18
30425578,0.05,20,1,19
30432648,0,20,0,20
30440303,0.1,20,2,18
30519870,0.15,20,3,17
30572170,0.05,20,1,19
30614573,0.05,20,1,19
30699429,0,20,0,20
30912860,0.05,20,1,19
30913209,0,20,0,20
31007645,0.1,20,2,18
31187179,0.1,20,2,18
31668589,0.05,20,1,19
31669242,0,20,0,20
31727716,0.2,20,4,16
31733654,0.2,20,4,16
31817706,0,20,0,20
31849177,0.05,20,1,19
31887973,0,20,0,20
32102983,0.05,20,1,19
32125590,0.05,20,1,19
32126281,0.05,20,1,19
32398422,0,20,0,20
32467994,0.04,25,1,24
32498610,0,20,0,20
32577778,0,20,0,20
32592631,0.1,20,2,18
32644336,0.181818182,22,4,18
32710856,0.05,20,1,19
32749624,0,20,0,20
32847394,0.15,20,3,17
33013552,0.05,20,1,19
33071192,0.05,20,1,19
33214968,0.1,20,2,18
33282871,0.1,20,2,18
33452361,0,20,0,20
33518079,0.05,20,1,19
33580866,0,20,0,20
33622085,0.05,20,1,19
33651880,0.05,20,1,19
33659046,0.1,20,2,18
33706322,0,20,0,20
33778112,0.05,20,1,19
33865373,0.2,20,4,16
33910513,0,25,0,25
33995654,0,20,0,20
34040508,0.05,20,1,19
34102593,0,20,0,20
34177747,0.05,20,1,19
34281672,0,20,0,20
34384042,0,21,0,21
34442062,0.1,20,2,18
34582304,0.05,20,1,19
34658438,0,20,0,20
34901647,0.15,20,3,17
34919318,0.2,20,4,16
35009482,0.1,20,2,18
35039277,0.1,20,2,18
35047392,0,20,0,20
35153301,0,20,0,20
35177894,0,20,0,20
35227774,0.05,20,1,19
35264447,0,20,0,20
35330593,0.1,20,2,18
35388317,0.05,20,1,19
35433662,0,20,0,20
35701646,0.25,20,5,15
35729292,0,20,0,20
35849335,0.05,20,1,19
35864169,0.05,20,1,19
36349097,0,20,0,20
36404933,0.15,20,3,17
36439985,0.05,20,1,19
36502549,0.05,20,1,19
36546868,0.1,20,2,18
36557643,0,20,0,20
36791999,0,20,0,20
36978196,0.05,20,1,19
37294596,0.05,20,1,19
37422528,0.05,20,1,19
37435998,0.15,20,3,17
37466720,0.15,20,3,17
37490443,0.1,20,2,18
37708732,0,20,0,20
37723786,0.05,20,1,19
37766583,0,20,0,20
37827989,0.1,20,2,18
37829487,0.05,20,1,19
38049880,0.05,20,1,19
38179194,0,20,0,20
38317154,0,20,0,20
38323067,0,20,0,20
38436635,0,20,0,20
38465050,0,20,0,20
38731746,0,20,0,20
38950395,0,22,0,22
39037163,0.05,20,1,19
39082468,0.05,20,1,19
39146470,0.1,20,2,18
39319649,0,20,0,20
39322716,0.05,20,1,19
39334748,0.1,20,2,18
39361297,0,20,0,20
39403038,0.05,20,1,19
39446138,0.05,20,1,19
39524248,0,20,0,20
39622853,0.05,20,1,19
39758678,0,20,0,20
39760170,0,20,0,20
39834113,0,20,0,20
39899978,0.086956522,23,2,21
39941720,0.1,20,2,18
40051659,0.05,20,1,19
40080833,0.05,20,1,19
40212239,0.05,20,1,19
40280688,0.05,20,1,19
40289887,0.1,20,2,18
40652120,0,20,0,20
40754921,0,20,0,20
40797591,0,20,0,20
41559627,0.05,20,1,19
41606445,0.05,20,1,19
41719717,0.1,20,2,18
41883229,0.1,20,2,18
41883322,0,20,0,20
41887439,0,20,0,20
42005897,0.1,20,2,18
42061089,0.041666667,24,1,23
42099265,0.05,20,1,19
42198457,0,20,0,20
42298912,0.05,20,1,19
42363887,0,20,0,20
42380987,0.05,20,1,19
42657809,0.045454545,22,1,21
42681063,0,20,0,20
42695514,0.1,20,2,18
42771635,0,20,0,20
42849279,0.05,20,1,19
42928788,0,20,0,20
42935819,0.05,20,1,19
43114966,0,20,0,20
43160799,0,20,0,20
43186470,0,20,0,20
43284145,0.05,20,1,19
43360645,0.15,20,3,17
43607599,0.1,20,2,18
43684632,0.043478261,23,1,22
